Mangalore-Udupi Food Items,Ingredients Used
Neer Dosa,"Rice, Salt"
Goli Baje,"Maida (all-purpose flour), Yogurt, Green chilies, Curry leaves, Cumin, Salt"
Pundi (Rice Dumplings),"Rice, Grated coconut, Salt"
Mangalore Buns,"Banana, Maida (all-purpose flour), Yogurt, Sugar, Salt, Baking soda"
rasam,"Toor Da,Tamarind,Tomatoes,Rasam Powde,Turmeric Powder"
Bisi Bele Bath,"Rice, Toor Dal, Mixed Vegetables Tamarind, Onions, Tomatoes, Ginger, Garlic, Curry Leaves, Coriander Seeds, Cumin Seeds, Black Pepper, Fenugreek Seeds, Red Chilies, Turmeric Powder, Ghee or Oil, Mustard Seeds, Coriander Leaves"
Akki Rotti,"Rice flour, Water, Salt, Onion (finely chopped), Green chilies (finely chopped), Ginger (grated), Coriander leaves (chopped), Curry leaves (chopped), Carrot (grated, optional), Oil (for cooking)"
Kotte Kadubu,"Rice flour, Coconut, Jaggery, Cardamom"
Masala Dosa,"Rice, Urad dal, Potatoes, Onion, Green chilies, Ginger, Curry leaves, Mustard seeds"
Idli,"Rice, Urad dal, Water, Salt"
Rava Idli,"Semolina (rava), Curd, Water, Mustard seeds, Cumin seeds, Curry leaves, Baking soda"
Medu Vada,"Urad dal, Water, Black pepper, Cumin seeds, Ginger, Green chilies, Curry leaves, Salt"
Set Dosa,"Rice, Urad dal, Fenugreek seeds, Water, Salt"
Chitranna (Lemon Rice),"Rice, Lemon juice, Peanuts, Mustard seeds, Turmeric powder, Green chilies, Curry leaves"
Tomato Rice,"Rice, Tomatoes, Onion, Green chilies, Ginger, Garlic, Mustard seeds, Curry leaves"
Puliyogare,"Tamarind, Rice, Peanuts, Red chilies, Curry leaves, Mustard seeds, Sesame seeds"
Pongal,"Rice, Moong dal, Black pepper, Ginger, Ghee, Curry leaves"
Kesari Bath,"Semolina, Sugar, Ghee, Water, Cardamom, Cashews, Raisins"
Avalakki (Poha),"Flattened rice, Onion, Green chilies, Mustard seeds, Peanuts, Curry leaves"
Uppittu (Upma),"Semolina, Water, Onion, Green chilies, Mustard seeds, Curry leaves, Ghee"
Mangalore Idli (Flat Idli),"Rice, Urad dal, Fenugreek seeds, Water, Salt"
Pathrode,"Colocasia leaves, Rice, Grated coconut, Tamarind, Red chilies, Cumin, Salt"
Kadlebele Sundal (Chickpea Stir-fry),"Chickpeas, Mustard seeds, Coconut, Green chilies, Curry leaves"
Curd Rice,"Rice, Yogurt, Salt, Ginger, Green chilies, Mustard seeds, Curry leaves"
