Mangalore-Udupi Food Items,Ingredients Used
neer dosa,"rice, salt"
goli baje,"maida (all-purpose flour), yogurt, green chilies, curry leaves, cumin, salt"
pundi (rice dumplings),"rice, grated coconut, salt"
mangalore buns,"banana, maida (all-purpose flour), yogurt, sugar, salt, baking soda"
rasam,"toor da,tamarind,tomatoes,rasam powde,turmeric powder"
bisi bele bath,"rice, toor dal, mixed vegetables tamarind, onions, tomatoes, ginger, garlic, curry leaves, coriander seeds, cumin seeds, black pepper, fenugreek seeds, red chilies, turmeric powder, ghee or oil, mustard seeds, coriander leaves"
akki rotti,"rice flour, water, salt, onion (finely chopped), green chilies (finely chopped), ginger (grated), coriander leaves (chopped), curry leaves (chopped), carrot (grated, optional), oil (for cooking)"
kotte kadubu,"rice flour, coconut, jaggery, cardamom"
masala dosa,"rice, urad dal, potatoes, onion, green chilies, ginger, curry leaves, mustard seeds"
idli,"rice, urad dal, water, salt"
rava idli,"semolina (rava), curd, water, mustard seeds, cumin seeds, curry leaves, baking soda"
medu vada,"urad dal, water, black pepper, cumin seeds, ginger, green chilies, curry leaves, salt"
set dosa,"rice, urad dal, fenugreek seeds, water, salt"
chitranna (lemon rice),"rice, lemon juice, peanuts, mustard seeds, turmeric powder, green chilies, curry leaves"
tomato rice,"rice, tomatoes, onion, green chilies, ginger, garlic, mustard seeds, curry leaves"
puliyogare,"tamarind, rice, peanuts, red chilies, curry leaves, mustard seeds, sesame seeds"
pongal,"rice, moong dal, black pepper, ginger, ghee, curry leaves"
kesari bath,"semolina, sugar, ghee, water, cardamom, cashews, raisins"
avalakki (poha),"flattened rice, onion, green chilies, mustard seeds, peanuts, curry leaves"
uppittu (upma),"semolina, water, onion, green chilies, mustard seeds, curry leaves, ghee"
mangalore idli (flat idli),"rice, urad dal, fenugreek seeds, water, salt"
pathrode,"colocasia leaves, rice, grated coconut, tamarind, red chilies, cumin, salt"
kadlebele sundal (chickpea stir-fry),"chickpeas, mustard seeds, coconut, green chilies, curry leaves"
curd rice,"rice, yogurt, salt, ginger, green chilies, mustard seeds, curry leaves"
kayi sasive (coconut-mustard curry),"coconut, mustard seeds, green chilies, tamarind, salt"
majjige huli (buttermilk curry),"buttermilk, vegetables (pumpkin, ash gourd), coconut, green chilies, salt"
tovve (plain dal),"toor dal, water, turmeric, salt"
masala rotti,"rice flour, onion, green chilies, coriander leaves, spices"
tondekai (ivy gourd) palya,"ivy gourd, coconut, mustard seeds, curry leaves, green chilies"
badanekayi (brinjal) yennegayi,"brinjal, onion, tomato, spices, oil"
